WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
682,616.5892,-5.00,5.00,605.9226,-5.00,5.00,
683,614.4581,-5.00,5.00,604.3531,-5.00,5.00,
684,612.0729,-5.00,5.00,601.5540,-5.00,5.00,
685,604.1187,-5.00,5.00,598.1498,-5.00,5.00,
686,600.5366,-5.00,5.00,594.0553,-5.00,5.00,
687,596.4457,-5.00,5.00,587.0753,-5.00,5.00,
688,593.1815,-5.00,5.00,583.5048,-5.00,5.00,
689,587.6835,-5.00,5.00,581.3543,-5.00,5.00,
690,584.5427,-5.00,5.00,577.4282,-5.00,5.00,
691,581.7904,-5.00,5.00,570.0896,-5.00,5.00,
692,578.1800,-5.00,5.00,566.1443,-5.00,5.00,
693,572.1996,-5.00,5.00,561.4943,-5.00,5.00,
694,568.2135,-5.00,5.00,556.4641,-5.00,5.00,
695,564.2268,-5.00,5.00,549.1594,-5.00,5.00,
696,561.0003,-5.00,5.00,545.2916,-5.00,5.00,
697,554.4009,-5.00,5.00,542.2230,-5.00,5.00,
698,552.0058,-5.00,5.00,536.6097,-5.00,5.00,
699,550.0604,-5.00,5.00,534.8651,-5.00,5.00,
700,544.9390,-5.00,5.00,533.0804,-5.00,5.00,
701,541.6074,-5.00,5.00,530.6556,-5.00,5.00,
702,538.9659,-5.00,5.00,525.4904,-5.00,5.00,
703,536.3292,-5.00,5.00,523.1601,-5.00,5.00,
704,532.1760,-5.00,5.00,521.2797,-5.00,5.00,
705,530.0591,-5.00,5.00,519.9843,-5.00,5.00,
706,528.8179,-5.00,5.00,517.0683,-5.00,5.00,
707,527.2713,-5.00,5.00,516.5931,-5.00,5.00,
708,524.8738,-5.00,5.00,515.2225,-5.00,5.00,
709,523.7625,-5.00,5.00,514.8873,-5.00,5.00,
710,523.1868,-5.00,5.00,515.4426,-5.00,5.00,
711,523.0266,-5.00,5.00,514.7173,-5.00,5.00,
712,521.8953,-5.00,5.00,514.7673,-5.00,5.00,
713,521.6499,-5.00,5.00,513.4166,-5.00,5.00,
714,519.4271,-5.00,5.00,511.3556,-5.00,5.00,
715,514.9959,-5.00,5.00,508.5889,-5.00,5.00,
716,510.4537,-5.00,5.00,504.7562,-5.00,5.00,
717,504.7638,-5.00,5.00,495.0322,-5.00,5.00,
718,498.5915,-5.00,5.00,487.4583,-5.00,5.00,
719,484.3995,-5.00,5.00,480.3483,-5.00,5.00,
720,477.2982,-5.00,5.00,472.7525,-5.00,5.00,
721,471.1077,-5.00,5.00,459.4292,-5.00,5.00,
722,461.8279,-5.00,5.00,455.1937,-5.00,5.00,
723,458.6052,-5.00,5.00,450.5469,-5.00,5.00,
724,457.0162,-5.00,5.00,446.5755,-5.00,5.00,
725,456.1666,-5.00,5.00,446.6556,-5.00,5.00,
726,457.7907,-5.00,5.00,447.1163,-5.00,5.00,
727,459.1599,-5.00,5.00,447.8226,-5.00,5.00,
728,461.3682,-5.00,5.00,451.7287,-5.00,5.00,
729,462.6772,-5.00,5.00,452.6751,-5.00,5.00,
730,467.7120,-5.00,5.00,456.1951,-5.00,5.00,
731,470.1589,-5.00,5.00,457.0462,-5.00,5.00,
732,473.7239,-5.00,5.00,463.3488,-5.00,5.00,
733,475.5111,-5.00,5.00,464.6501,-5.00,5.00,
734,474.9121,-5.00,5.00,465.2658,-5.00,5.00,
735,473.4244,-5.00,5.00,462.5028,-5.00,5.00,
736,470.8081,-5.00,5.00,460.2952,-5.00,5.00,
737,465.9040,-5.00,5.00,459.1289,-5.00,5.00,
738,465.2097,-5.00,5.00,457.8723,-5.00,5.00,
739,464.3756,-5.00,5.00,457.8722,-5.00,5.00,
740,463.8510,-5.00,5.00,458.1426,-5.00,5.00,
741,462.8170,-5.00,5.00,458.0074,-5.00,5.00,
742,462.5023,-5.00,5.00,458.1776,-5.00,5.00,
743,461.3132,-5.00,5.00,456.9611,-5.00,5.00,
744,459.7295,-5.00,5.00,456.3052,-5.00,5.00,
745,457.2511,-5.00,5.00,455.1286,-5.00,5.00,
746,456.5415,-5.00,5.00,452.8303,-5.00,5.00,
747,455.2971,-5.00,5.00,452.3896,-5.00,5.00,
748,454.0476,-5.00,5.00,452.2195,-5.00,5.00,
749,454.0776,-5.00,5.00,452.2545,-5.00,5.00,
750,454.2975,-5.00,5.00,451.1529,-5.00,5.00,
751,452.8130,-5.00,5.00,450.0862,-5.00,5.00,
752,450.6136,-5.00,5.00,449.0896,-5.00,5.00,
753,448.9988,-5.00,5.00,443.9409,-5.00,5.00,
754,447.2039,-5.00,5.00,441.4163,-5.00,5.00,
755,442.9234,-5.00,5.00,439.0968,-5.00,5.00,
756,442.0781,-5.00,5.00,438.2902,-5.00,5.00,
757,441.3129,-5.00,5.00,435.9505,-5.00,5.00,
758,442.0031,-5.00,5.00,436.6419,-5.00,5.00,
759,443.1784,-5.00,5.00,437.3534,-5.00,5.00,
760,443.7836,-5.00,5.00,436.9676,-5.00,5.00,
761,445.3838,-5.00,5.00,439.4626,-5.00,5.00,
762,448.9139,-5.00,5.00,445.6088,-5.00,5.00,
763,474.5826,-5.00,5.00,459.1989,-5.00,5.00,
764,488.7048,-5.00,5.00,483.3826,-5.00,5.00,
765,496.5973,-5.00,5.00,486.3517,-5.00,5.00,
766,481.6801,-5.00,5.00,478.8516,-5.00,5.00,
767,467.2076,-5.00,5.00,465.2558,-5.00,5.00,
768,454.2875,-5.00,5.00,440.4995,-5.00,5.00,
769,443.1335,-5.00,5.00,431.2754,-5.00,5.00,
770,426.4817,-5.00,5.00,424.6900,-5.00,5.00,
771,421.0359,-5.00,5.00,413.8913,-5.00,5.00,
772,416.0787,-5.00,5.00,408.2898,-5.00,5.00,
773,406.0141,-5.00,5.00,403.7406,-5.00,5.00,
774,400.6710,-5.00,5.00,399.7676,-5.00,5.00,
775,396.4843,-5.00,5.00,391.6642,-5.00,5.00,
776,392.7349,-5.00,5.00,388.0710,-5.00,5.00,
777,386.2615,-5.00,5.00,385.4711,-5.00,5.00,
778,384.0211,-5.00,5.00,382.4122,-5.00,5.00,
779,382.1935,-5.00,5.00,381.2684,-5.00,5.00,
780,380.2851,-5.00,5.00,380.0346,-5.00,5.00,
781,379.2780,-5.00,5.00,379.1554,-5.00,5.00,
782,379.6607,-5.00,5.00,379.9647,-5.00,5.00,
783,379.8269,-5.00,5.00,380.4142,-5.00,5.00,
784,380.9599,-5.00,5.00,380.2794,-5.00,5.00,
785,380.5621,-5.00,5.00,380.1445,-5.00,5.00,
786,380.6426,-5.00,5.00,381.3033,-5.00,5.00,
787,383.4774,-5.00,5.00,382.8618,-5.00,5.00,
788,385.6775,-5.00,5.00,383.8521,-5.00,5.00,
789,386.7146,-5.00,5.00,386.5552,-5.00,5.00,
790,386.6844,-5.00,5.00,386.9568,-5.00,5.00,
791,383.2156,-5.00,5.00,384.6842,-5.00,5.00,
792,379.8269,-5.00,5.00,381.6131,-5.00,5.00,
793,376.7500,-5.00,5.00,373.2943,-5.00,5.00,
794,370.3434,-5.00,5.00,370.9703,-5.00,5.00,
795,369.6381,-5.00,5.00,369.3108,-5.00,5.00,
796,370.1317,-5.00,5.00,367.4012,-5.00,5.00,
797,369.7439,-5.00,5.00,367.0862,-5.00,5.00,
798,369.1999,-5.00,5.00,366.9562,-5.00,5.00,
799,368.6457,-5.00,5.00,367.1063,-5.00,5.00,
800,368.9581,-5.00,5.00,365.5263,-5.00,5.00,
801,368.4795,-5.00,5.00,364.5463,-5.00,5.00,
802,368.2024,-5.00,5.00,365.4313,-5.00,5.00,
803,368.2175,-5.00,5.00,366.3663,-5.00,5.00,
804,369.4719,-5.00,5.00,368.0660,-5.00,5.00,
805,374.0253,-5.00,5.00,368.6060,-5.00,5.00,
806,374.5642,-5.00,5.00,370.0607,-5.00,5.00,
807,376.2464,-5.00,5.00,376.7973,-5.00,5.00,
808,383.1199,-5.00,5.00,379.6649,-5.00,5.00,
809,387.6208,-5.00,5.00,382.9170,-5.00,5.00,
810,390.7568,-5.00,5.00,389.9881,-5.00,5.00,
811,394.4109,-5.00,5.00,395.7789,-5.00,5.00,
812,404.7765,-5.00,5.00,402.3511,-5.00,5.00,
813,412.4777,-5.00,5.00,408.3901,-5.00,5.00,
814,418.6281,-5.00,5.00,422.3090,-5.00,5.00,
815,427.0424,-5.00,5.00,432.6635,-5.00,5.00,
816,449.5537,-5.00,5.00,446.3200,-5.00,5.00,
817,468.1465,-5.00,5.00,481.6250,-5.00,5.00,
818,490.6900,-5.00,5.00,506.0621,-5.00,5.00,
819,560.8654,-5.00,5.00,540.2937,-5.00,5.00,
820,624.4844,-5.00,5.00,592.6604,-5.00,5.00,
821,745.6735,-5.00,5.00,833.7842,-5.00,5.00,
822,928.5156,-5.00,5.00,1032.5620,-5.00,5.00,
823,1281.8600,-5.00,5.00,1200.4010,-5.00,5.00,
824,1341.0890,-5.00,5.00,1298.6820,-5.00,5.00,
825,1296.9350,-5.00,5.00,1220.5940,-5.00,5.00,
826,1145.3580,-5.00,5.00,1142.5050,-5.00,5.00,
827,1105.4970,-5.00,5.00,1094.2620,-5.00,5.00,
828,1069.2370,-5.00,5.00,1016.3110,-5.00,5.00,
829,1015.8950,-5.00,5.00,957.9771,-5.00,5.00,
830,867.3245,-5.00,5.00,885.7713,-5.00,5.00,
831,804.1152,-5.00,5.00,763.1490,-5.00,5.00,
832,761.0176,-5.00,5.00,729.8414,-5.00,5.00,
833,733.1129,-5.00,5.00,720.2162,-5.00,5.00,
834,732.1228,-5.00,5.00,723.0641,-5.00,5.00,
835,726.8879,-5.00,5.00,712.1853,-5.00,5.00,
836,709.6843,-5.00,5.00,683.3166,-5.00,5.00,
837,638.8873,-5.00,5.00,641.7480,-5.00,5.00,
838,602.3003,-5.00,5.00,578.9037,-5.00,5.00,
839,575.7311,-5.00,5.00,564.8109,-5.00,5.00,
840,554.9760,-5.00,5.00,558.3024,-5.00,5.00,
841,545.4891,-5.00,5.00,549.2944,-5.00,5.00,
842,528.5125,-5.00,5.00,511.2705,-5.00,5.00,
843,501.2219,-5.00,5.00,484.7896,-5.00,5.00,
844,447.1589,-5.00,5.00,461.3515,-5.00,5.00,
845,428.9695,-5.00,5.00,424.5747,-5.00,5.00,
846,413.6496,-5.00,5.00,407.9287,-5.00,5.00,
847,384.5498,-5.00,5.00,393.4507,-5.00,5.00,
